BUKRS,WERKS,MATNR,MAKTX,MENGE,MEINS,BLDAT,BWART,KOSTL,NETPR,WAERS
1000,PL01,10000001,Diesel Fuel B7,850,L,01.04.2024,201,CC1001,92000,INR
1000,PL01,10000001,Diesel Fuel B7,1200,L,08.04.2024,201,CC1001,130000,INR
1000,PL02,10000002,Petrol 95 Unleaded,430,L,10.04.2024,201,CC2001,49000,INR
1000,PL01,10000003,LPG Forklift Gas,220,KG,15.04.2024,201,CC1002,18000,INR
1000,PL03,10000001,Diesel Fuel B7,3100,L,18.04.2024,201,CC3001,336000,INR
1000,PL02,10000004,Natural Gas,450,M3,22.04.2024,201,CC2002,27000,INR
1000,PL01,10000001,Diesel Fuel B7,980,L,25.04.2024,201,CC1001,106000,INR
1000,PL04,10000002,Petrol 95 Unleaded,620,L,28.04.2024,201,CC4001,71000,INR
1000,PL01,10000005,Lubricating Oil,50,L,05.04.2024,201,CC1001,8500,INR
1000,PL02,10000001,Diesel Fuel B7,75000,L,30.04.2024,201,CC2001,8100000,INR
1000,PL03,10000003,LPG Forklift Gas,180,KG,12.04.2024,201,CC3002,14700,INR
1000,PL01,10000001,Diesel Fuel B7,1450,L,02.05.2024,201,CC1001,157000,INR
1000,PL02,10000002,Petrol 95 Unleaded,390,L,05.05.2024,201,CC2001,44000,INR
1000,PL01,10000001,Diesel Fuel B7,500,L,10.05.2024,551,CC1001,54000,INR
