expense_id,traveler_id,trip_id,category,origin,destination,travel_date,amount,currency,distance_km,airline,hotel_name,nights
TRV-001,EMP-042,TRIP-101,air,BOM,DEL,2024-04-03,8500,INR,1150,IndiGo,,
TRV-002,EMP-042,TRIP-101,hotel,,,2024-04-03,5500,INR,,,Radisson Delhi,2
TRV-003,EMP-042,TRIP-101,air,DEL,BOM,2024-04-05,7900,INR,1150,Air India,,
TRV-004,EMP-017,TRIP-102,air,BLR,HYD,2024-04-08,4200,INR,500,IndiGo,,
TRV-005,EMP-017,TRIP-102,taxi,HYD,HYD,2024-04-08,850,INR,22,,,
TRV-006,EMP-017,TRIP-102,hotel,,,2024-04-08,4800,INR,,,Marriott Hyderabad,1
TRV-007,EMP-017,TRIP-102,air,HYD,BLR,2024-04-09,4100,INR,500,SpiceJet,,
TRV-008,EMP-033,TRIP-103,air,BOM,LHR,2024-04-12,85000,INR,7190,British Airways,,
TRV-009,EMP-033,TRIP-103,hotel,,,2024-04-12,22000,INR,,,Hilton London,4
TRV-010,EMP-033,TRIP-103,air,LHR,JFK,2024-04-16,62000,INR,5540,Delta,,
TRV-011,EMP-033,TRIP-103,hotel,,,2024-04-16,35000,INR,,,Marriott Times Square,3
TRV-012,EMP-033,TRIP-103,air,JFK,BOM,2024-04-19,91000,INR,,Delta,,
TRV-013,EMP-055,TRIP-104,train,DEL,AGR,2024-04-22,1200,INR,200,,,
TRV-014,EMP-055,TRIP-104,car,AGR,DEL,2024-04-23,3500,INR,210,,,
TRV-015,EMP-021,TRIP-105,air,BOM,SIN,2024-05-02,42000,INR,5200,Singapore Airlines,,
TRV-016,EMP-021,TRIP-105,hotel,,,2024-05-02,28000,INR,,,Marina Bay Sands,3
TRV-017,EMP-021,TRIP-105,air,SIN,BOM,2024-05-05,44000,INR,5200,Singapore Airlines,,
